Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Inferred evidence score
"SMTT00006","AANAT","None","aralkylamine N-acetyltransferase","Serotonin N-acetyltransferase","ENSG00000129673","Q16613","0.00448309","0.0346571","1.0","By_ingredient","0.2239"
"SMTT00049","ACE","17","Angiotensin I Converting Enzyme","Angiotensin-converting Enzyme","ENSG00000159640","P12821","0.00845249","0.0444644","1.0","By_ingredient","0.2209"
"SMTT00050","ACE2","None","angiotensin I converting enzyme 2","Angiotensin-converting Enzyme 2","ENSG00000130234","Q9BYF1","0.00398589","0.032859","1.0","By_ingredient","0.2225"
"SMTT00052","ACO2","22","Aconitase 2","Aconitate Hydratase, Mitochondrial","ENSG00000100412","Q99798","0.0029908","0.0293845","1.0","By_ingredient","0.2281"
"SMTT00057","ACSF3","16","Acyl-CoA Synthetase Family Member 3","None","ENSG00000176715","None","0.000997851","0.015591","1.0","By_ingredient","0.2473"
"SMTT00058","ACSL1","None","acyl-CoA synthetase long chain family member 1","Long-chain-fatty-acid--CoA Ligase 1","ENSG00000151726","P33121","0.00845249","0.0444644","1.0","By_ingredient","0.1715"
"SMTT00059","ACSL4","X","Acyl-CoA Synthetase Long Chain Family Member 4","Long-chain-fatty-acid--CoA Ligase 4","ENSG00000068366","O60488","0.00746151","0.0425888","1.0","By_ingredient","0.1873"
"SMTT00069","ACVR1","2","Activin A Receptor Type 1","Activin Receptor Type-1","ENSG00000115170","Q04771","0.00149643","0.0199814","1.0","By_ingredient","0.2347"
"SMTT00076","ADAM17","2","ADAM Metallopeptidase Domain 17","Disintegrin And Metalloproteinase Domain-containing Protein 17","ENSG00000151694","P78536","0.00547682","0.0378448","1.0","By_ingredient","0.2045"
"SMTT00098","ADK","10","Adenosine Kinase","Adenosine Kinase","ENSG00000156110","P55263","0.00547682","0.0378448","1.0","By_ingredient","0.202"
"SMTT00108","ADSL","22","Adenylosuccinate Lyase","None","ENSG00000239900","None","0.00149643","0.0199814","1.0","By_ingredient","0.2536"
"SMTT00114","AGBL1","15","ATP/GTP Binding Protein Like 1","None","ENSG00000273540","None","0.00398589","0.032859","1.0","By_ingredient","0.2367"
"SMTT00115","AGBL5","2","ATP/GTP Binding Protein Like 5","None","ENSG00000084693","None","0.00398589","0.032859","1.0","By_ingredient","0.236"
"SMTT00125","AGXT","2","Alanine--glyoxylate And Serine--pyruvate Aminotransferase","Serine--pyruvate Aminotransferase","ENSG00000172482","P21549","0.0197833","0.0608915","1.0","By_ingredient","0.1776"
"SMTT00132","AIMP1","4","Aminoacyl tRNA Synthetase Complex Interacting Multifunctional Protein 1","None","ENSG00000164022","None","0.00696568","0.041413","1.0","By_ingredient","0.2093"
"SMTT00140","AKR1C1","None","aldo-keto reductase family 1 member C1","Aldo-keto Reductase Family 1 Member C1","ENSG00000187134","Q04828","0.0207629","0.0623143","1.0","By_ingredient","0.1995"
"SMTT00141","AKR1C2","10","Aldo-keto Reductase Family 1 Member C2","Aldo-keto Reductase Family 1 Member C2","ENSG00000151632","P52895","0.0241844","0.0658197","1.0","By_ingredient","0.2008"
"SMTT00142","AKR1C3","None","aldo-keto reductase family 1 member C3","Aldo-keto Reductase Family 1 Member C3","ENSG00000196139","P42330","0.0202732","0.061502","1.0","By_ingredient","0.2019"
"SMTT00143","AKR1D1","7","Aldo-keto Reductase Family 1 Member D1","3-oxo-5-beta-steroid 4-dehydrogenase","ENSG00000122787","P51857","0.0119137","0.0501663","1.0","By_ingredient","0.2037"
"SMTT00147","ALAD","9","Aminolevulinate Dehydratase","Delta-aminolevulinic Acid Dehydratase","ENSG00000148218","P13716","0.00696568","0.041413","1.0","By_ingredient","0.1733"
"SMTT00150","ALB","4","Albumin","Serum Albumin","ENSG00000163631","P02768","0.0138865","0.0533141","1.0","By_ingredient","0.202"
"SMTT00152","ALDH1A3","15","Aldehyde Dehydrogenase 1 Family Member A3","Aldehyde Dehydrogenase Family 1 Member A3","ENSG00000184254","P47895","0.00597333","0.0388881","1.0","By_ingredient","0.2015"
"SMTT00153","ALDH2","12","Aldehyde Dehydrogenase 2 Family Member","Aldehyde Dehydrogenase, Mitochondrial","ENSG00000111275","P05091","0.0143792","0.0541202","1.0","By_ingredient","0.2064"
"SMTT00154","ALDH3A1","None","aldehyde dehydrogenase 3 family member A1","Aldehyde Dehydrogenase, Dimeric NADP-preferring","ENSG00000108602","P30838","0.00795711","0.0435365","1.0","By_ingredient","0.2106"
"SMTT00155","ALDH3A2","17","Aldehyde Dehydrogenase 3 Family Member A2","Fatty Aldehyde Dehydrogenase","ENSG00000072210","P51648","0.00696568","0.041413","1.0","By_ingredient","0.2138"
"SMTT00156","ALDH4A1","1","Aldehyde Dehydrogenase 4 Family Member A1","Delta-1-pyrroline-5-carboxylate Dehydrogenase, Mitochondrial","ENSG00000159423","P30038","0.00646962","0.0399386","1.0","By_ingredient","0.2307"
"SMTT00157","ALDH5A1","6","Aldehyde Dehydrogenase 5 Family Member A1","Succinate-semialdehyde Dehydrogenase, Mitochondrial","ENSG00000112294","P51649","0.00547682","0.0378448","1.0","By_ingredient","0.2484"
"SMTT00159","ALDH7A1","5","Aldehyde Dehydrogenase 7 Family Member A1","Alpha-aminoadipic Semialdehyde Dehydrogenase","ENSG00000164904","P49419","0.00646962","0.0399386","1.0","By_ingredient","0.2256"
"SMTT00187","AMH","19","Anti-Mullerian Hormone","None","ENSG00000104899","None","0.000997851","0.015591","1.0","By_ingredient","0.233"
"SMTT00194","AMY2A","None","amylase, alpha 2A (pancreatic)","Pancreatic Alpha-amylase","ENSG00000243480","P04746","0.00023501","0.00598793","1.0","By_ingredient","0.4045"
"SMTT00195","ANG","14","Angiogenin","Angiogenin","ENSG00000214274","P03950","0.0029908","0.0293845","1.0","By_ingredient","0.2338"
"SMTT00239","APRT","16","Adenine Phosphoribosyltransferase","Adenine Phosphoribosyltransferase","ENSG00000198931","P07741","0.00348846","0.0315771","1.0","By_ingredient","0.2474"
"SMTT00250","ARHGDIA","17","Rho GDP Dissociation Inhibitor Alpha","None","ENSG00000141522","None","0.00498007","0.0360733","1.0","By_ingredient","0.2096"
"SMTT00302","ATP6V1B1","2","ATPase H+ Transporting V1 Subunit B1","None","ENSG00000116039","None","0.000997851","0.015591","1.0","By_ingredient","0.2684"
"SMTT00303","ATP6V1B2","8","ATPase H+ Transporting V1 Subunit B2","V-type Proton ATPase Subunit B, Brain Isoform","ENSG00000147416","P21281","0.000997851","0.015591","1.0","By_ingredient","0.2071"
"SMTT00304","ATP7A","X","ATPase Copper Transporting Alpha","None","ENSG00000165240","None","0.00149643","0.0199814","1.0","By_ingredient","0.212"
"SMTT00305","ATP7B","13","ATPase Copper Transporting Beta","None","ENSG00000123191","None","0.00199478","0.0233139","1.0","By_ingredient","0.2024"
"SMTT00326","AXIN1","16","Axin 1","Axin-1","ENSG00000103126","O15169","0.0029908","0.0293845","1.0","By_ingredient","0.2257"
"SMTT00327","AXIN2","17","Axin 2","None","ENSG00000168646","None","0.0024929","0.0264257","1.0","By_ingredient","0.2064"
"SMTT00329","B2M","15","Beta-2-microglobulin","Beta-2-microglobulin","ENSG00000166710","P61769","0.0173303","0.0581309","1.0","By_ingredient","0.2074"
"SMTT00361","BCL2","18","BCL2, Apoptosis Regulator","Apoptosis Regulator Bcl-2","ENSG00000171791","P10415","0.00489134","0.0356932","1.0","By_ingredient","0.3835"
"SMTT00362","BCL2L1","None","BCL2 like 1","Bcl-2-like Protein 1","ENSG00000171552","Q07817","0.0435253","0.0851038","1.0","By_ingredient","0.2036"
"SMTT00363","BCL2L2","None","BCL2 like 2","Bcl-2-like Protein 2","ENSG00000129473","Q92843","0.00597333","0.0388881","1.0","By_ingredient","0.23"
"SMTT00375","BGN","X","Biglycan","None","ENSG00000182492","None","0.00448309","0.0346571","1.0","By_ingredient","0.2128"
"SMTT00388","BMP15","X","Bone Morphogenetic Protein 15","None","ENSG00000130385","None","0.00049904","0.009989","1.0","By_ingredient","0.2598"
"SMTT00389","BMP2","20","Bone Morphogenetic Protein 2","None","ENSG00000125845","None","0.00944255","0.0465341","1.0","By_ingredient","0.2448"
"SMTT00390","BMP4","14","Bone Morphogenetic Protein 4","Bone Morphogenetic Protein 4","ENSG00000125378","P12644","0.00795711","0.0435365","1.0","By_ingredient","0.2338"
"SMTT00404","BRIP1","17","BRCA1 Interacting Protein C-terminal Helicase 1","None","ENSG00000136492","None","0.00149643","0.0199814","1.0","By_ingredient","0.2289"
"SMTT00436","CA2","8","Carbonic Anhydrase 2","Carbonic Anhydrase 2","ENSG00000104267","P00918","0.0254424","0.0672724","1.0","By_ingredient","0.8038"
"SMTT00456","CAD","2","Carbamoyl-phosphate Synthetase 2, Aspartate Transcarbamylase, And Dihydroorotase","CAD Protein","ENSG00000084774","P27708","1.26121e-05","0.000697146","1.0","By_ingredient","0.4298"
"SMTT00481","CASP7","None","caspase 7","Caspase-7","ENSG00000165806","P55210","0.0217416","0.0636065","1.0","By_ingredient","0.205"
"SMTT00490","CAV1","7","Caveolin 1","None","ENSG00000105974","None","0.00894763","0.0454633","1.0","By_ingredient","0.1978"
"SMTT00494","CBS","21","Cystathionine-beta-synthase","Cystathionine Beta-synthase","ENSG00000160200","P35520","0.00845249","0.0444644","1.0","By_ingredient","0.2098"
"SMTT00551","CD79B","17","CD79b Molecule","None","ENSG00000007312","None","0.000997851","0.015591","1.0","By_ingredient","0.2308"
"SMTT00569","CDK2","None","cyclin dependent kinase 2","Cyclin-dependent Kinase 2","ENSG00000123374","P24941","0.0486171","0.0895338","1.0","By_ingredient","0.6437"
"SMTT00675","CLEC7A","12","C-type Lectin Domain Containing 7A","None","ENSG00000172243","None","0.00448309","0.0346571","1.0","By_ingredient","0.2162"
"SMTT00688","CMA1","None","chymase 1","Chymase","ENSG00000092009","P23946","0.0358318","0.0773213","1.0","By_ingredient","0.1974"
"SMTT00721","COL1A1","17","Collagen Type I Alpha 1 Chain","Collagen Alpha-1(I) Chain","ENSG00000108821","P02452","0.016839","0.0577115","1.0","By_ingredient","0.1692"
"SMTT00739","COL7A1","3","Collagen Type VII Alpha 1 Chain","None","ENSG00000114270","None","0.00795711","0.0435365","1.0","By_ingredient","0.186"
"SMTT00769","CP","3","Ceruloplasmin","Ceruloplasmin","ENSG00000047457","P00450","0.00547682","0.0378448","1.0","By_ingredient","0.2118"
"SMTT00770","CPA1","7","Carboxypeptidase A1","Carboxypeptidase A1","ENSG00000091704","P15085","0.00547682","0.0378448","1.0","By_ingredient","0.2257"
"SMTT00771","CPA6","8","Carboxypeptidase A6","None","ENSG00000165078","None","0.00398589","0.032859","1.0","By_ingredient","0.2543"
"SMTT00775","CPOX","3","Coproporphyrinogen Oxidase","None","ENSG00000080819","None","0.00149643","0.0199814","1.0","By_ingredient","0.2205"
"SMTT00808","CRYM","16","Crystallin Mu","Ketimine Reductase Mu-crystallin","ENSG00000103316","Q14894","0.00149643","0.0199814","1.0","By_ingredient","0.245"
"SMTT00821","CTBP1","4","C-terminal Binding Protein 1","C-terminal-binding Protein 1","ENSG00000159692","Q13363","1.03219e-05","0.000595218","1.0","By_ingredient","0.4093"
"SMTT00856","CYBB","X","Cytochrome B-245 Beta Chain","Cytochrome B-245 Heavy Chain","ENSG00000165168","P04839","0.00845249","0.0444644","1.0","By_ingredient","0.1862"
"SMTT00866","CYP1A2","None","cytochrome P450 family 1 subfamily A member 2","Cytochrome P450 1A2","ENSG00000140505","P05177","0.0449615","0.086567","1.0","By_ingredient","0.1685"
"SMTT00910","DCLRE1C","10","DNA Cross-link Repair 1C","None","ENSG00000152457","None","0.00049904","0.009989","1.0","By_ingredient","0.2437"
"SMTT00930","DECR1","None","2,4-dienoyl-CoA reductase 1","2,4-dienoyl-CoA Reductase, Mitochondrial","ENSG00000104325","Q16698","0.0114199","0.0500184","1.0","By_ingredient","0.2026"
"SMTT00951","DIP2B","12","Disco Interacting Protein 2 Homolog B","None","ENSG00000066084","None","0.000997851","0.015591","1.0","By_ingredient","0.2433"
"SMTT00988","DNAJC19","3","DnaJ Heat Shock Protein Family (Hsp40) Member C19","None","ENSG00000205981","None","0.00199478","0.0233139","1.0","By_ingredient","0.2295"
"SMTT00995","DNM1L","12","Dynamin 1 Like","None","ENSG00000087470","None","0.00696568","0.041413","1.0","By_ingredient","0.2063"
"SMTT00997","DNMT1","19","DNA Methyltransferase 1","DNA (cytosine-5)-methyltransferase 1","ENSG00000130816","P26358","0.0129006","0.051746","1.0","By_ingredient","0.1855"
"SMTT01009","DPM1","20","Dolichyl-phosphate Mannosyltransferase Subunit 1, Catalytic","None","ENSG00000000419","None","0.000997851","0.015591","1.0","By_ingredient","0.2143"
"SMTT01015","DPYS","8","Dihydropyrimidinase","None","ENSG00000147647","None","0.00199478","0.0233139","1.0","By_ingredient","0.2358"
"SMTT01035","DUSP6","12","Dual Specificity Phosphatase 6","None","ENSG00000139318","None","0.00646962","0.0399386","1.0","By_ingredient","0.2019"
"SMTT01048","ECE1","1","Endothelin Converting Enzyme 1","Endothelin-converting Enzyme 1","ENSG00000117298","P42892","0.00498007","0.0360733","1.0","By_ingredient","0.2203"
"SMTT01049","ECEL1","2","Endothelin Converting Enzyme Like 1","None","ENSG00000171551","None","0.00049904","0.009989","1.0","By_ingredient","0.2314"
"SMTT01083","EIF4E","None","eukaryotic translation initiation factor 4E","Eukaryotic Translation Initiation Factor 4E","ENSG00000151247","P06730","0.00149643","0.0199814","1.0","By_ingredient","0.2185"
"SMTT01102","ENO3","17","Enolase 3","Beta-enolase","ENSG00000108515","P13929","0.0024929","0.0264257","1.0","By_ingredient","0.2268"
"SMTT01119","EPM2A","6","EPM2A, Laforin Glucan Phosphatase","None","ENSG00000112425","None","0.0024929","0.0264257","1.0","By_ingredient","0.2271"
"SMTT01128","ERCC2","19","ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit","None","ENSG00000104884","None","0.00448309","0.0346571","1.0","By_ingredient","0.23"
"SMTT01164","F11","4","Coagulation Factor XI","Coagulation Factor XI","ENSG00000088926","P03951","0.0363143","0.0779393","1.0","By_ingredient","0.2168"
"SMTT01168","F2","11","Coagulation Factor II, Thrombin","Prothrombin","ENSG00000180210","P00734","0.0435253","0.0851038","1.0","By_ingredient","0.1925"
"SMTT01196","FANCL","2","Fanconi Anemia Complementation Group L","None","ENSG00000115392","None","0.00199478","0.0233139","1.0","By_ingredient","0.2457"
"SMTT01209","FBP1","9","Fructose-bisphosphatase 1","Fructose-1,6-bisphosphatase 1","ENSG00000165140","P09467","0.00348846","0.0315771","1.0","By_ingredient","0.1941"
"SMTT01214","FCER1A","None","Fc fragment of IgE receptor Ia","High Affinity Immunoglobulin Epsilon Receptor Subunit Alpha","ENSG00000179639","P12319","0.0024929","0.0264257","1.0","By_ingredient","0.2135"
"SMTT01215","FCER2","None","Fc fragment of IgE receptor II","Low Affinity Immunoglobulin Epsilon Fc Receptor","ENSG00000104921","P06734","0.00845249","0.0444644","1.0","By_ingredient","0.2061"
"SMTT01219","FDPS","1","Farnesyl Diphosphate Synthase","Farnesyl Pyrophosphate Synthase","ENSG00000160752","P14324","0.00448309","0.0346571","1.0","By_ingredient","0.2394"
"SMTT01240","FGFR2","10","Fibroblast Growth Factor Receptor 2","Fibroblast Growth Factor Receptor 2","ENSG00000066468","P21802","0.0124073","0.0510354","1.0","By_ingredient","0.2103"
"SMTT01244","FH","1","Fumarate Hydratase","None","ENSG00000091483","None","0.0029908","0.0293845","1.0","By_ingredient","0.2041"
"SMTT01302","FTO","16","FTO, Alpha-ketoglutarate Dependent Dioxygenase","Alpha-ketoglutarate-dependent Dioxygenase FTO","ENSG00000140718","Q9C0B1","0.00149643","0.0199814","1.0","By_ingredient","0.1963"
"SMTT01315","G6PC","17","Glucose-6-phosphatase Catalytic Subunit","None","ENSG00000131482","None","0.00696568","0.041413","1.0","By_ingredient","0.1689"
"SMTT01320","GABRA1","5","Gamma-aminobutyric Acid Type A Receptor Alpha1 Subunit","Gamma-aminobutyric Acid Receptor Subunit Alpha-1","ENSG00000022355","P14867","0.0330441","0.0747138","1.0","By_ingredient","0.664"
"SMTT01332","GALNS","16","Galactosamine (N-acetyl)-6-sulfatase","None","ENSG00000141012","None","0.0024929","0.0264257","1.0","By_ingredient","0.2438"
"SMTT01358","GCSH","16","Glycine Cleavage System Protein H","Glycine Cleavage System H Protein, Mitochondrial","ENSG00000140905","P23434","0.00149643","0.0199814","1.0","By_ingredient","0.2506"
"SMTT01360","GDF1","19","Growth Differentiation Factor 1","None","ENSG00000223802","None","0.00149643","0.0199814","1.0","By_ingredient","0.2307"
"SMTT01362","GDF3","12","Growth Differentiation Factor 3","None","ENSG00000184344","None","0.00049904","0.009989","1.0","By_ingredient","0.2776"
"SMTT01363","GDF5","20","Growth Differentiation Factor 5","Growth/differentiation Factor 5","ENSG00000125965","P43026","0.00049904","0.009989","1.0","By_ingredient","0.2554"
"SMTT01364","GDF6","8","Growth Differentiation Factor 6","None","ENSG00000156466","None","0.00049904","0.009989","1.0","By_ingredient","0.2749"
"SMTT01372","GFPT1","2","Glutamine--fructose-6-phosphate Transaminase 1","None","ENSG00000198380","None","0.000997851","0.015591","1.0","By_ingredient","0.2127"
"SMTT01405","GLUD1","10","Glutamate Dehydrogenase 1","Glutamate Dehydrogenase 1, Mitochondrial","ENSG00000148672","P00367","0.00845249","0.0444644","1.0","By_ingredient","0.1834"
"SMTT01406","GLUL","1","Glutamate-ammonia Ligase","Glutamine Synthetase","ENSG00000135821","P15104","1.26121e-05","0.000697146","1.0","By_ingredient","0.3946"
"SMTT01413","GNAI1","None","G protein subunit alpha i1","Guanine Nucleotide-binding Protein G(i) Subunit Alpha-1","ENSG00000127955","P63096","0.0114199","0.0500184","1.0","By_ingredient","0.2231"
"SMTT01415","GNAI3","1","G Protein Subunit Alpha I3","None","ENSG00000065135","None","0.00894763","0.0454633","1.0","By_ingredient","0.2283"
"SMTT01426","GNMT","6","Glycine N-methyltransferase","Glycine N-methyltransferase","ENSG00000124713","Q14749","0.0124073","0.0510354","1.0","By_ingredient","0.1943"
"SMTT01507","H6PD","1","Hexose-6-phosphate Dehydrogenase/glucose 1-dehydrogenase","GDH/6PGL Endoplasmic Bifunctional Protein","ENSG00000049239","O95479","0.00894763","0.0454633","1.0","By_ingredient","0.2034"
"SMTT01553","HK1","10","Hexokinase 1","Hexokinase-1","ENSG00000156515","P19367","0.00049904","0.009989","1.0","By_ingredient","0.1827"
"SMTT01566","HMGCL","1","3-hydroxymethyl-3-methylglutaryl-CoA Lyase","Hydroxymethylglutaryl-CoA Lyase, Mitochondrial","ENSG00000117305","P35914","0.00348846","0.0315771","1.0","By_ingredient","0.2142"
"SMTT01567","HMGCR","None","3-hydroxy-3-methylglutaryl-CoA reductase","3-hydroxy-3-methylglutaryl-coenzyme A Reductase","ENSG00000113161","P04035","0.0207629","0.0623143","1.0","By_ingredient","0.194"
"SMTT01590","HPGD","4","15-hydroxyprostaglandin Dehydrogenase","15-hydroxyprostaglandin Dehydrogenase [NAD(+)]","ENSG00000164120","P15428","0.00795711","0.0435365","1.0","By_ingredient","0.2057"
"SMTT01603","HS3ST3A1","None","heparan sulfate-glucosamine 3-sulfotransferase 3A1","Heparan Sulfate Glucosamine 3-O-sulfotransferase 3A1","ENSG00000153976","Q9Y663","0.000997851","0.015591","1.0","By_ingredient","0.2413"
"SMTT01605","HSD11B1","1","Hydroxysteroid 11-beta Dehydrogenase 1","Corticosteroid 11-beta-dehydrogenase Isozyme 1","ENSG00000117594","P28845","0.0114199","0.0500184","1.0","By_ingredient","0.1992"
"SMTT01641","IDH1","2","Isocitrate Dehydrogenase (NADP(+)) 1, Cytosolic","Isocitrate Dehydrogenase [NADP] Cytoplasmic","ENSG00000138413","O75874","0.00398589","0.032859","1.0","By_ingredient","0.2085"
"SMTT01642","IDH2","15","Isocitrate Dehydrogenase (NADP(+)) 2, Mitochondrial","Isocitrate Dehydrogenase [NADP], Mitochondrial","ENSG00000182054","P48735","0.0024929","0.0264257","1.0","By_ingredient","0.2004"
"SMTT01643","IDH3B","20","Isocitrate Dehydrogenase 3 (NAD(+)) Beta","Isocitrate Dehydrogenase [NAD] Subunit Beta, Mitochondrial","ENSG00000101365","O43837","0.00348846","0.0315771","1.0","By_ingredient","0.2275"
"SMTT01717","IMPDH1","7","Inosine Monophosphate Dehydrogenase 1","Inosine-5'-monophosphate Dehydrogenase 1","ENSG00000106348","P20839","0.00348846","0.0315771","1.0","By_ingredient","0.2231"
"SMTT01762","ITPA","20","Inosine Triphosphatase","Inosine Triphosphate Pyrophosphatase","ENSG00000125877","Q9BY32","0.000997851","0.015591","1.0","By_ingredient","0.2384"
"SMTT01767","IYD","6","Iodotyrosine Deiodinase","Iodotyrosine Deiodinase 1","ENSG00000009765","Q6PHW0","0.00498007","0.0360733","1.0","By_ingredient","0.2447"
"SMTT01792","KCNAB2","1","Potassium Voltage-gated Channel Subfamily A Regulatory Beta Subunit 2","None","ENSG00000069424","None","0.00149643","0.0199814","1.0","By_ingredient","0.2104"
"SMTT01878","KRAS","12","KRAS Proto-oncogene, GTPase","GTPase KRas","ENSG00000133703","P01116","0.0104317","0.0482329","1.0","By_ingredient","0.2078"
"SMTT01905","LACC1","13","Laccase Domain Containing 1","None","ENSG00000179630","None","0.00149643","0.0199814","1.0","By_ingredient","0.2569"
"SMTT01926","LCT","2","Lactase","Lactase-phlorizin Hydrolase","ENSG00000115850","P09848","0.0124073","0.0510354","1.0","By_ingredient","0.1681"
"SMTT01928","LDHA","11","Lactate Dehydrogenase A","L-lactate Dehydrogenase A Chain","ENSG00000134333","P00338","0.0109259","0.0494643","1.0","By_ingredient","0.2015"
"SMTT01931","LEMD2","6","LEM Domain Containing 2","None","ENSG00000161904","None","0.000997851","0.015591","1.0","By_ingredient","0.2484"
"SMTT01932","LEMD3","12","LEM Domain Containing 3","None","ENSG00000174106","None","0.000997851","0.015591","1.0","By_ingredient","0.2133"
"SMTT01939","LGSN","None","lengsin, lens protein with glutamine synthetase domain","Lengsin","ENSG00000146166","Q5TDP6","0.0024929","0.0264257","1.0","By_ingredient","0.2182"
"SMTT02030","MAP3K1","5","Mitogen-activated Protein Kinase Kinase Kinase 1","Mitogen-activated Protein Kinase Kinase Kinase 1","ENSG00000095015","Q13233","0.00149643","0.0199814","1.0","By_ingredient","0.2465"
"SMTT02037","MAPK3","None","mitogen-activated protein kinase 3","Mitogen-activated Protein Kinase 3","ENSG00000102882","P27361","0.0468733","0.0882399","1.0","By_ingredient","0.1903"
"SMTT02038","MAPK8","None","mitogen-activated protein kinase 8","Mitogen-activated Protein Kinase 8","ENSG00000107643","P45983","0.044483","0.0860905","1.0","By_ingredient","0.167"
"SMTT02044","MARS2","2","Methionyl-tRNA Synthetase 2, Mitochondrial","None","ENSG00000247626","None","0.0024929","0.0264257","1.0","By_ingredient","0.2358"
"SMTT02060","MCEE","2","Methylmalonyl-CoA Epimerase","None","ENSG00000124370","None","0.00398589","0.032859","1.0","By_ingredient","0.2367"
"SMTT02062","MCL1","None","MCL1, BCL2 family apoptosis regulator","Induced Myeloid Leukemia Cell Differentiation Protein Mcl-1","ENSG00000143384","Q07820","0.0222306","0.0642337","1.0","By_ingredient","0.1949"
"SMTT02106","MIF","22","Macrophage Migration Inhibitory Factor","Macrophage Migration Inhibitory Factor","ENSG00000240972","P14174","0.00696568","0.041413","1.0","By_ingredient","0.2193"
"SMTT02128","MMACHC","1","Methylmalonic Aciduria (cobalamin Deficiency) CblC Type, With Homocystinuria","Methylmalonic Aciduria And Homocystinuria Type C Protein","ENSG00000132763","Q9Y4U1","0.00149643","0.0199814","1.0","By_ingredient","0.2203"
"SMTT02130","MME","None","membrane metalloendopeptidase","Neprilysin","ENSG00000196549","P08473","0.00597333","0.0388881","1.0","By_ingredient","0.1777"
"SMTT02131","MMEL1","1","Membrane Metalloendopeptidase Like 1","None","ENSG00000142606","None","0.00049904","0.009989","1.0","By_ingredient","0.2647"
"SMTT02140","MMP3","None","matrix metallopeptidase 3","Stromelysin-1","ENSG00000149968","P08254","0.0163475","0.0572124","1.0","By_ingredient","0.1519"
"SMTT02177","MSTN","2","Myostatin","Growth/differentiation Factor 8","ENSG00000138379","O14793","0.00199478","0.0233139","1.0","By_ingredient","0.2112"
"SMTT02200","MVK","12","Mevalonate Kinase","Mevalonate Kinase","ENSG00000110921","Q03426","0.000997851","0.015591","1.0","By_ingredient","0.2287"
"SMTT02217","MYLK","3","Myosin Light Chain Kinase","None","ENSG00000065534","None","0.0024929","0.0264257","1.0","By_ingredient","0.2384"
"SMTT02236","NAGA","22","Alpha-N-acetylgalactosaminidase","Alpha-N-acetylgalactosaminidase","ENSG00000198951","P17050","0.0029908","0.0293845","1.0","By_ingredient","0.2127"
"SMTT02237","NAGLU","17","N-acetyl-alpha-glucosaminidase","Alpha-N-acetylglucosaminidase","ENSG00000108784","P54802","0.00199478","0.0233139","1.0","By_ingredient","0.241"
"SMTT02249","NCF2","1","Neutrophil Cytosolic Factor 2","Neutrophil Cytosol Factor 2","ENSG00000116701","P19878","0.00398589","0.032859","1.0","By_ingredient","0.194"
"SMTT02276","NDUFAF5","20","NADH:ubiquinone Oxidoreductase Complex Assembly Factor 5","None","ENSG00000101247","None","0.00199478","0.0233139","1.0","By_ingredient","0.235"
"SMTT02292","NECTIN1","11","Nectin Cell Adhesion Molecule 1","None","ENSG00000110400","None","0.00199478","0.0233139","1.0","By_ingredient","0.215"
"SMTT02320","NHP2","5","NHP2 Ribonucleoprotein","None","ENSG00000145912","None","0.00348846","0.0315771","1.0","By_ingredient","0.2291"
"SMTT02330","NLGN4X","X","Neuroligin 4, X-linked","None","ENSG00000146938","None","0.0029908","0.0293845","1.0","By_ingredient","0.2288"
"SMTT02336","NME1","17","NME/NM23 Nucleoside Diphosphate Kinase 1","Nucleoside Diphosphate Kinase A","ENSG00000239672","P15531","0.00547682","0.0378448","1.0","By_ingredient","0.2029"
"SMTT02337","NME8","7","NME/NM23 Family Member 8","None","ENSG00000086288","None","0.00199478","0.0233139","1.0","By_ingredient","0.2494"
"SMTT02338","NMNAT1","1","Nicotinamide Nucleotide Adenylyltransferase 1","Nicotinamide/nicotinic Acid Mononucleotide Adenylyltransferase 1","ENSG00000173614","Q9HAN9","0.000997851","0.015591","1.0","By_ingredient","0.2379"
"SMTT02342","NODAL","10","Nodal Growth Differentiation Factor","None","ENSG00000156574","None","0.00049904","0.009989","1.0","By_ingredient","0.2269"
"SMTT02374","NR1I2","None","nuclear receptor subfamily 1 group I member 2","Nuclear Receptor Subfamily 1 Group I Member 2","ENSG00000144852","O75469","0.0363143","0.0779393","1.0","By_ingredient","0.1927"
"SMTT02375","NR1I3","None","nuclear receptor subfamily 1 group I member 3","Nuclear Receptor Subfamily 1 Group I Member 3","ENSG00000143257","Q14994","0.0148716","0.0551503","1.0","By_ingredient","0.2002"
"SMTT02397","NT5E","6","5'-nucleotidase Ecto","5'-nucleotidase","ENSG00000135318","P21589","0.00498007","0.0360733","1.0","By_ingredient","0.216"
"SMTT02412","OAT","10","Ornithine Aminotransferase","Ornithine Aminotransferase, Mitochondrial","ENSG00000065154","P04181","0.00746151","0.0425888","1.0","By_ingredient","0.1941"
"SMTT02413","OBSL1","2","Obscurin Like 1","None","ENSG00000124006","None","0.00149643","0.0199814","1.0","By_ingredient","0.2317"
"SMTT02439","OTC","X","Ornithine Carbamoyltransferase","Ornithine Carbamoyltransferase, Mitochondrial","ENSG00000036473","P00480","0.00597333","0.0388881","1.0","By_ingredient","0.2089"
