Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Inferred evidence score
"SMTT07456","INHBC","None","inhibin beta C subunit","None","ENSG00000175189","None","0.00049904","0.009989","1.0","By_ingredient","0.2188"
"SMTT07457","INHBE","None","inhibin beta E subunit","None","ENSG00000139269","None","0.00149643","0.0199814","1.0","By_ingredient","0.2104"
"SMTT07475","INTS11","None","integrator complex subunit 11","None","ENSG00000127054","None","0.00049904","0.009989","1.0","By_ingredient","0.2637"
"SMTT07480","INTS9","None","integrator complex subunit 9","None","ENSG00000104299","None","0.00049904","0.009989","1.0","By_ingredient","0.2546"
"SMTT07492","IPPK","None","inositol-pentakisphosphate 2-kinase","None","ENSG00000127080","None","0.000997851","0.015591","1.0","By_ingredient","0.2514"
"SMTT07504","IREB2","None","iron responsive element binding protein 2","None","ENSG00000136381","None","0.00049904","0.009989","1.0","By_ingredient","0.233"
"SMTT07584","KCNAB1","None","potassium voltage-gated channel subfamily A member regulatory beta subunit 1","None","ENSG00000169282","None","0.00149643","0.0199814","1.0","By_ingredient","0.2352"
"SMTT07585","KCNAB3","None","potassium voltage-gated channel subfamily A regulatory beta subunit 3","None","ENSG00000170049","None","0.00149643","0.0199814","1.0","By_ingredient","0.2363"
"SMTT07634","KDM1B","None","lysine demethylase 1B","None","ENSG00000165097","None","0.00348846","0.0315771","1.0","By_ingredient","0.2139"
"SMTT07648","KEL","None","Kell blood group, metallo-endopeptidase","None","ENSG00000197993","None","0.00049904","0.009989","1.0","By_ingredient","0.2614"
"SMTT07730","KLK5","None","kallikrein related peptidase 5","None","ENSG00000167754","None","0.035349","0.0768127","1.0","By_ingredient","0.2159"
"SMTT07735","KLRB1","None","killer cell lectin like receptor B1","None","ENSG00000111796","None","0.0024929","0.0264257","1.0","By_ingredient","0.2444"
"SMTT07738","KLRD1","None","killer cell lectin like receptor D1","None","ENSG00000134539","None","0.0024929","0.0264257","1.0","By_ingredient","0.2517"
"SMTT07739","KLRF2","None","killer cell lectin like receptor F2","None","ENSG00000256797","None","0.0029908","0.0293845","1.0","By_ingredient","0.2333"
"SMTT07740","KLRG1","None","killer cell lectin like receptor G1","None","ENSG00000139187","None","0.0024929","0.0264257","1.0","By_ingredient","0.2299"
"SMTT07741","KLRG2","None","killer cell lectin like receptor G2","None","ENSG00000188883","None","0.0029908","0.0293845","1.0","By_ingredient","0.2405"
"SMTT07742","KLRK1","None","killer cell lectin like receptor K1","None","ENSG00000213809","None","0.00398589","0.032859","1.0","By_ingredient","0.2265"
"SMTT07753","KPNA1","None","karyopherin subunit alpha 1","None","ENSG00000114030","None","0.00199478","0.0233139","1.0","By_ingredient","0.2211"
"SMTT07754","KPNA2","None","karyopherin subunit alpha 2","None","ENSG00000182481","None","0.0024929","0.0264257","1.0","By_ingredient","0.1978"
"SMTT07755","KPNA3","None","karyopherin subunit alpha 3","None","ENSG00000102753","None","0.00348846","0.0315771","1.0","By_ingredient","0.2034"
"SMTT07756","KPNA4","None","karyopherin subunit alpha 4","None","ENSG00000186432","None","0.0024929","0.0264257","1.0","By_ingredient","0.2155"
"SMTT07757","KPNA5","None","karyopherin subunit alpha 5","None","ENSG00000196911","None","0.00049904","0.009989","1.0","By_ingredient","0.2337"
"SMTT07758","KPNA6","None","karyopherin subunit alpha 6","None","ENSG00000025800","None","0.00049904","0.009989","1.0","By_ingredient","0.2398"
"SMTT07759","KPNA7","None","karyopherin subunit alpha 7","None","ENSG00000185467","None","0.00049904","0.009989","1.0","By_ingredient","0.2669"
"SMTT07786","L3HYPDH","None","trans-L-3-hydroxyproline dehydratase","None","ENSG00000126790","None","0.00149643","0.0199814","1.0","By_ingredient","0.2354"
"SMTT07788","LACTB","None","lactamase beta","None","ENSG00000103642","None","0.0029908","0.0293845","1.0","By_ingredient","0.2292"
"SMTT07790","LACTBL1","None","lactamase beta like 1","None","ENSG00000215906","None","0.00149643","0.0199814","1.0","By_ingredient","0.2339"
"SMTT07819","LCMT1","None","leucine carboxyl methyltransferase 1","None","ENSG00000205629","None","0.0024929","0.0264257","1.0","By_ingredient","0.2264"
"SMTT07820","LCMT2","None","leucine carboxyl methyltransferase 2","None","ENSG00000168806","None","0.00448309","0.0346571","1.0","By_ingredient","0.2208"
"SMTT07830","LDHAL6A","None","lactate dehydrogenase A like 6A","None","ENSG00000166800","None","0.00199478","0.0233139","1.0","By_ingredient","0.2431"
"SMTT07831","LDHAL6B","None","lactate dehydrogenase A like 6B","None","ENSG00000171989","None","0.00199478","0.0233139","1.0","By_ingredient","0.2197"
"SMTT07832","LDHB","None","lactate dehydrogenase B","None","ENSG00000111716","None","0.00894763","0.0454633","1.0","By_ingredient","0.2059"
"SMTT07833","LDHC","None","lactate dehydrogenase C","None","ENSG00000166796","None","0.00348846","0.0315771","1.0","By_ingredient","0.2357"
"SMTT07840","LEFTY1","None","left-right determination factor 1","None","ENSG00000243709","None","0.000997851","0.015591","1.0","By_ingredient","0.2411"
"SMTT07841","LEFTY2","None","left-right determination factor 2","None","ENSG00000143768","None","0.000997851","0.015591","1.0","By_ingredient","0.2585"
"SMTT07864","LHPP","None","phospholysine phosphohistidine inorganic pyrophosphate phosphatase","None","ENSG00000107902","None","0.000997851","0.015591","1.0","By_ingredient","0.2294"
"SMTT08009","LSM6","None","LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated","None","ENSG00000164167","None","0.00199478","0.0233139","1.0","By_ingredient","0.2517"
"SMTT08071","MAP1LC3C","None","microtubule associated protein 1 light chain 3 gamma","None","ENSG00000197769","None","0.00049904","0.009989","1.0","By_ingredient","0.2553"
"SMTT08102","MARK1","None","microtubule affinity regulating kinase 1","None","ENSG00000116141","None","0.00049904","0.009989","1.0","By_ingredient","0.2062"
