Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
"SMTT07831","LDHAL6B","None","lactate dehydrogenase A like 6B","None","ENSG00000171989","None","0.00979166","0.0471444","1.0","By_ingredient","0.1842"
"SMTT07832","LDHB","None","lactate dehydrogenase B","None","ENSG00000111716","None","0.043325","0.084921","1.0","By_ingredient","0.1726"
"SMTT07833","LDHC","None","lactate dehydrogenase C","None","ENSG00000166796","None","0.0170734","0.0581309","1.0","By_ingredient","0.1976"
"SMTT07840","LEFTY1","None","left-right determination factor 1","None","ENSG00000243709","None","0.00490769","0.0356932","1.0","By_ingredient","0.2021"
"SMTT07841","LEFTY2","None","left-right determination factor 2","None","ENSG00000143768","None","0.00490769","0.0356932","1.0","By_ingredient","0.2167"
"SMTT07864","LHPP","None","phospholysine phosphohistidine inorganic pyrophosphate phosphatase","None","ENSG00000107902","None","0.00490769","0.0356932","1.0","By_ingredient","0.1923"
"SMTT08009","LSM6","None","LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated","None","ENSG00000164167","None","0.00979166","0.0471444","1.0","By_ingredient","0.211"
"SMTT08071","MAP1LC3C","None","microtubule associated protein 1 light chain 3 gamma","None","ENSG00000197769","None","0.00245681","0.026213","1.0","By_ingredient","0.2141"
"SMTT08102","MARK1","None","microtubule affinity regulating kinase 1","None","ENSG00000116141","None","0.00245681","0.026213","1.0","By_ingredient","0.1728"
"SMTT08103","MARK2","None","microtubule affinity regulating kinase 2","None","ENSG00000072518","None","0.00490769","0.0356932","1.0","By_ingredient","0.1894"
"SMTT08104","MARK3","None","microtubule affinity regulating kinase 3","None","ENSG00000075413","None","0.00245681","0.026213","1.0","By_ingredient","0.2192"
"SMTT08105","MARK4","None","microtubule affinity regulating kinase 4","None","ENSG00000007047","None","0.0122248","0.0506489","1.0","By_ingredient","0.1876"
"SMTT08128","MBTPS1","None","membrane bound transcription factor peptidase, site 1","None","ENSG00000140943","None","0.014652","0.0546754","1.0","By_ingredient","0.1725"
"SMTT08137","MCM5","None","minichromosome maintenance complex component 5","None","ENSG00000100297","None","0.00979166","0.0471444","1.0","By_ingredient","0.198"
"SMTT08143","MDH1","None","malate dehydrogenase 1","None","ENSG00000014641","None","0.00979166","0.0471444","1.0","By_ingredient","0.1926"
"SMTT08144","MDH1B","None","malate dehydrogenase 1B","None","ENSG00000138400","None","0.00735263","0.0421606","1.0","By_ingredient","0.1804"
"SMTT08145","MDH2","None","malate dehydrogenase 2","None","ENSG00000146701","None","0.0290927","0.0709833","1.0","By_ingredient","0.1758"
"SMTT08147","MDM4","None","MDM4, p53 regulator","None","ENSG00000198625","None","0.00735263","0.0421606","1.0","By_ingredient","0.1842"
"SMTT08176","METAP1","None","methionyl aminopeptidase 1","None","ENSG00000164024","None","0.014652","0.0546754","1.0","By_ingredient","0.1976"
"SMTT08177","METAP1D","None","methionyl aminopeptidase type 1D, mitochondrial","None","ENSG00000172878","None","0.0122248","0.0506489","1.0","By_ingredient","0.2061"
"SMTT08178","METAP2","None","methionyl aminopeptidase 2","None","ENSG00000111142","None","0.045677","0.08716","1.0","By_ingredient","0.1891"
"SMTT08183","METTL21C","None","methyltransferase like 21C","None","ENSG00000139780","None","0.00979166","0.0471444","1.0","By_ingredient","0.1945"
"SMTT08184","METTL27","None","methyltransferase like 27","None","ENSG00000165171","None","0.00979166","0.0471444","1.0","By_ingredient","0.191"
"SMTT08274","MOCS3","None","molybdenum cofactor synthesis 3","None","ENSG00000124217","None","0.0122248","0.0506489","1.0","By_ingredient","0.1889"
